RPM,Magnitude
10,9.84
12,10.69
14,10.39
16,9.99
18,10.68
20,10.13
22,10.90
24,11.11
26,12.42
28,11.61
30,11.11
32,10.90
34,10.64
36,10.20
38,9.83
40,9.75
42,9.68
44,9.90
46,10.16
48,10.34
50,10.51
52,10.32
54,11.67
56,11.53
58,10.94
60,11.87
62,12.93
64,12.43
66,12.25
68,11.92
70,11.85
72,12.66
74,11.98
76,12.60
78,14.10
80,13.77
82,12.99
84,14.27
86,13.86
88,14.52
90,13.89
92,13.88
94,14.10
96,13.78
98,14.13
100,14.08
102,13.99
104,14.52
106,13.65
108,13.64
110,13.90
112,13.92
114,13.89
116,13.81
118,13.59
120,13.29
122,13.84
124,12.99
126,13.05
128,12.79
130,12.54
132,12.66
134,12.24
136,12.45
138,12.07
140,11.91
142,11.81
144,12.25
146,11.60
148,11.69
150,11.91